년도,이름,관객수(만명),average
2019-11-01,겨울왕국 2,760,
2019-11-01,블랙머니,216,
2019-11-01,신의한수 : 귀수편,213,396
2019-12-01,백두산,629,
2019-12-01,겨울왕국 2,576,
2019-12-01,시동,252,486
2020-01-01,남산의 부장들,387,
2020-01-01,백두산,195,
2020-01-01,히트맨,187,256
2020-02-01,정직한 후보,141,
2020-02-01,클로젯,126,
2020-02-01,남산의 부장들,87,118
2020-03-01,인비저블맨,42,
2020-03-01,1917,30,
2020-03-01,지푸라기라도 잡고 싶은 짐승들,13,28
2020-04-01,1917,11,
2020-04-01,라라랜드,8,
2020-04-01,인비저블맨,3,7
2020-05-01,트롤:월드 투어,12,
2020-05-01,위대한 쇼맨,11,
2020-05-01,저 산 너머,8,10
2020-06-01,#살아있다,119,
2020-06-01,결백,74,
2020-06-01,침입자,53,82
2020-07-01,반도,321,
2020-07-01,#살아있다,70,
2020-07-01,강철비2:정상회담,51,147
2020-08-01,다만 악에서 구하소서,425,
2020-08-01,강철비2:정상회담,126,
2020-08-01,오케이 마담,120,224
2020-09-01,테넷,102,
2020-09-01,오! 문희,32,
2020-09-01,뮬란,22,52
2020-10-01,담보,147,
2020-10-01,삼진그룹 영어토익반,78,
2020-10-01,소리도 없이,38,88
2020-11-01,도굴,137,
2020-11-01,삼진그룹 영어토익반,77,
2020-11-01,내가 죽던 날,23,79
2020-12-01,원더우먼 1984,39,
2020-12-01,이웃사촌,20,
2020-12-01,조제,18,26
2021-01-01,소울,87,
2021-01-01,극장판 귀멸의칼날:무한열차편,20,
2021-01-01,원더우먼 1984,15,41
2021-02-01,소울,100,
2021-02-01,극장판 귀멸의칼날:무한열차편,68,
2021-02-01,미션 파서블,33,67
2021-03-01,극장판 귀멸의칼날:무한열차편,62,
2021-03-01,고질라 VS 콩,40,
2021-03-01,라야와 마지막 드래곤,30,44
2021-04-01,서복,36,
2021-04-01,극장판 귀멸의칼날:무한열차편,34,
2021-04-01,고질라 VS 콩,29,33
2021-05-01,분노의 질주 : 더 얼티메이트,179,
2021-05-01,크루엘라,33,
2021-05-01,비와 당신의 이야기,31,81
2021-06-01,크루엘라,120,
2021-06-01,컨저링3: 악마가 시켰다,77,
2021-06-01,콰이어트 플레이스 2,67,88
2021-07-01,블랙 위도우,275,
2021-07-01,랑총,81,
2021-07-01,보스 베이비 2,59,138
2021-08-01,모가디슈,256,
2021-08-01,싱크홀,202,
2021-08-01,인질,120,193
2021-09-01,샹치와 텐: 링즈의전설,168,
2021-09-01,보이스,102,
2021-09-01,기적,48,106
2021-10-01,베놈 2: 렛 데어 비 카니지,197,
2021-10-01,007 노 타임 두 다이,103,
2021-10-01,듄,76,125
2021-11-01,이터널스,300,
2021-11-01,듄,67,
2021-11-01,장르만 로맨스,48,138
2021-12-01,스파이더맨: 노 웨이 홈,556,
2021-12-01,킹스맨 : 퍼스트 에이전트,62,
2021-12-01,유체이탈자,37,218
2022-01-01,스파이더맨: 노 웨이 홈,177,
2022-01-01,씽2게더,75,
2022-01-01,경관의 피,67,106
2022-02-01,해적: 도깨비 깃발,70,
2022-02-01,언차티드,61,
2022-02-01,킹메이커,44,58
2022-03-01,더 배트맨,87,
2022-03-01,이상한 나라의 수학자,48,
2022-03-01,뜨거운 피,27,54
2022-04-01,신비한동물들과덤블도어의비밀,101,
2022-04-01,모비우스,36,
2022-04-01,수퍼 소닉2,27,55
2022-05-01,범죄도시 2,701,
2022-05-01,닥터스트레인지:대혼돈의멀티버스,508,
2022-05-01,배드 가이즈,38,416
2022-06-01,범죄도시 2,520,
2022-06-01,쥬라기월드 : 도미니언,282,
2022-06-01,마녀Part2:The Other One,242,348
2022-07-01,탑건:매버릭,486,
2022-07-01,토르: 러브앤썬더,270,
2022-07-01,한산: 용의출현,227,328
2022-08-01,한산: 용의출현,480,
2022-08-01,헌트,387,
2022-08-01,비상선언,203,357
2022-09-01,공조2: 인터내셔날,583,
2022-09-01,육사오,127,
2022-09-01,헌트,46,252
2022-10-01,공조2: 인터내셔날,111,
2022-10-01,인생은 아름다워,93,
2022-10-01,정직한 후보 2,69,91
2022-11-01,블랙팬서: 와칸다 포에버,203,
2022-11-01,올빼미,112,
2022-11-01,데시벨,82,132
2022-12-01,아바타: 물의길,731,
2022-12-01,올빼미,209,
2022-12-01,영웅,148,363
2023-01-01,아바타: 물의길,309,
2023-01-01,더 퍼스트 슬램덩크,199,
2023-01-01,영웅,159,222
2023-02-01,더 퍼스트 슬램덩크,164,
2023-02-01,앤트맨과 와스프: 퀀텀매니아,137,
2023-02-01,아바타: 물의길,37,113
2023-03-01,대외비,74,
2023-03-01,더 퍼스트 슬램덩크,68,
2023-03-01,"귀멸의칼날:상현집결, 그리고 도공마을로",53,65
2023-04-01,존 윅4,160,
2023-04-01,슈퍼 마리오 브라더스,77,
2023-04-01,리바운드,64,100
2023-05-01,가디언즈 오브 갤럭시: Volume3,400,
2023-05-01,분노의 질주 : 라이드 오어 다이,162,
2023-05-01,슈퍼 마리오 브라더스,156,239
2023-06-01,범죄도시 3,874,
2023-06-01,앨리멘탈,169,
2023-06-01,트랜스포머: 비스트의 서막,76,373
2023-07-01,앨리멘탈,408,
2023-07-01,미션 임파서블: 데드 레코닝 PART ONE,359,
2023-07-01,밀수,197,321
2023-08-01,콘크리트 유토피아,345,
2023-08-01,밀수,304,
2023-08-01,오펜하이머,252,300
2023-09-01,잠,140,
2023-09-01,천박사 퇴마 연구소: 설경의 비밀,94,
2023-09-01,오펜하이머,67,100
2023-10-01,30일,186,
2023-10-01,그대들은 어떻게 살 것인가,106,
2023-10-01,천박사 퇴마 연구소: 설경의 비밀,97,130
2023-11-01,서울의 봄,295,
2023-11-01,그대들은 어떻게 살 것인가,90,
2023-11-01,더 마블스,68,151
